"Name_std" "mass"
"Emmiltis pygmaearia" 0.00109186519258814
"Enargia paleacea" 0.0517819260825421
"Endromis versicolora" 0.25162319906489
"Ennomos alniaria" 0.0146742090411511
"Ennomos erosaria" 0.0133054180759517
"Ennomos fuscantaria" 0.0171399781999375
"Ennomos quercaria" 0.0142088520123803
"Ennomos quercinaria" 0.012017483895347
"Entephria caesiata" 0.0128672103951741
"Entephria cyanata" 0.00967699057636693
"Entephria flavata" 0.00968521441516887
"Entephria flavicinctata" 0.0116058320493016
"Entephria infidaria" 0.00931662747599378
"Entephria nobiliaria" 0.00967699057636693
"Enterpia laudeti" 0.0360621328837277
"Epatolmis luctifera" 0.028610099578593
"Epilecta linogrisea" 0.0456008448405359
"Epilobophora sabinata" 0.00931662747599378
"Epimecia ustula" 0.036972401678864
"Epione repandaria" 0.00643866070670749
"Epione vespertaria" 0.00763800719467768
"Epipsilia grisescens" 0.031658598722312
"Epipsilia latens" 0.0416697146804472
"Epirrhoe alternata" 0.00643866070670749
"Epirrhoe galiata" 0.00931662747599378
"Epirrhoe molluginata" 0.00615815493079236
"Epirrhoe rivata" 0.00795754120965203
"Epirrhoe tristata" 0.0053618389467158
"Epirrita autumnata" 0.0112028984697103
"Epirrita christyi" 0.0112028984697103
"Epirrita dilutata" 0.0161256174762622
"Episema glaucina" 0.0446037432697434
"Erannis defoliaria" 0.0181923346778123
"Eriogaster arbusculae" 0.0418827398625839
"Eriogaster catax" 0.0513746633519966
"Eriogaster lanestris" 0.0513746633519966
"Eriopygodes imbecilla" 0.0251342171784727
"Eublemma ostrina" 0.0083399623021619
"Eublemma parva" 0.00476594790256921
"Eublemma polygramma" 0.00571530171924784
"Eublemma purpurina" 0.010109415716471
"Eucarta amethystina" 0.0351616720634722
"Eucarta virgo" 0.0342710532584822
"Euchalcia modestoides" 0.0388222300021049
"Euchalcia variabilis" 0.0486490221979701
"Euchoeca nebulata" 0.00355626544669099
"Eugnorisma depuncta" 0.0507282559225989
"Eugnorisma glareosa" 0.0426381486857565
"Eugraphe sigma" 0.052844929875311
"Eulithis mellinata" 0.0112028984697103
"Eulithis populata" 0.012017483895347
"Eulithis prunata" 0.012017483895347
"Eulithis testata" 0.00967699057636693
"Euphyia biangulata" 0.00763800719467768
"Euphyia frustata" 0.00732642491648935
"Euphyia unangulata" 0.00615815493079236
"Eupithecia abbreviata" 0.00336166172754934
"Eupithecia abietaria" 0.00511121460243484
"Eupithecia absinthiata" 0.00375759016085512
"Eupithecia actaeata" 0.00440270561066726
"Eupithecia analoga" 0.00299228571690412
"Eupithecia assimilata" 0.00317369631509547
"Eupithecia carpophagata" 0.00348547460390477
"Eupithecia cauchiata" 0.00418072945559607
"Eupithecia centaureata" 0.00463172595359071
"Eupithecia conterminata" 0.00218057296876312
"Eupithecia cretaceata" 0.00672682497679267
"Eupithecia denotata" 0.00355626544669099
"Eupithecia denticulata" 0.00418072945559607
"Eupithecia distinctaria" 0.00264879081358732
"Eupithecia dodoneata" 0.00264879081358732
"Eupithecia egenaria" 0.00463172595359071
"Eupithecia ericeata" 0.00336166172754934
"Eupithecia exiguata" 0.00355626544669099
"Eupithecia expallidata" 0.00463172595359071
"Eupithecia extraversaria" 0.00299228571690412
"Eupithecia gemellata" 0.00264879081358732
"Eupithecia graphata" 0.00355626544669099
"Eupithecia gueneata" 0.00511121460243484
"Eupithecia haworthiata" 0.00233049195681478
"Eupithecia icterata" 0.00463172595359071
"Eupithecia immundata" 0.00317369631509547
"Eupithecia impurata" 0.00463172595359071
