"Name_std" "overwintering_stage"
"Lomographa bimaculata" "pupa"
"Lomographa temerata" "pupa"
"Lycia alpina" "pupa"
"Lycia hirtaria" "pupa"
"Lycia zonaria" "pupa"
"Macaria alternata" "pupa"
"Macaria artesiaria" "egg"
"Macaria brunneata" "egg"
"Macaria liturata" "pupa"
"Macaria notata" "pupa"
"Macaria signaria" "larva"
"Macaria wauaria" "egg"
"Martania taeniata" "larva"
"Melanthia alaudaria" "pupa"
"Melanthia procellata" "pupa"
"Menophra abruptaria" "pupa"
"Menophra nycthemeraria" "larva"
"Mesoleuca albicillata" "pupa"
"Mesotype didymata" "egg"
"Mesotype parallelolineata" "egg"
"Mesotype verberata" "egg"
"Minoa murinata" "pupa"
"Nebula achromaria" "larva"
"Nebula nebulata" "larva"
"Nothocasis sertata" "egg"
"Odontopera bidentata" "pupa"
"Operophtera brumata" "egg"
"Operophtera fagata" "egg"
"Opisthograptis luteolata" "pupa"
"Orthonama obstipata" "pupa"
"Orthonama vittata" "larva"
"Ourapteryx sambucaria" "larva"
"Pachycnemia hippocastanaria" "pupa"
"Paradarisa consonaria" "pupa"
"Parectropis similaria" "pupa"
"Pareulype berberata" "pupa"
"Pasiphila chloerata" "egg"
"Pasiphila debiliata" "egg"
"Pasiphila rectangulata" "egg"
"Pelurga comitata" "pupa"
"Pennithera firmata" "larva"
"Perconia strigillaria" "larva"
"Peribatodes perversaria" "larva"
"Peribatodes rhomboidaria" "larva"
"Peribatodes secundaria" "larva"
"Perizoma affinitata" "pupa"
"Perizoma albulata" "pupa"
"Perizoma alchemillata" "pupa"
"Perizoma bifaciata" "pupa"
"Perizoma blandiata" "pupa"
"Perizoma flavofasciata" "pupa"
"Perizoma hydrata" "pupa"
"Perizoma incultaria" "pupa"
"Perizoma juracolaria" "pupa"
"Perizoma lugdunaria" "pupa"
"Perizoma minorata" "pupa"
"Perizoma obsoletata" "pupa"
"Petrophora chlorosata" "pupa"
"Phaiogramma etruscaria" "pupa"
"Phigalia pilosaria" "pupa"
"Philereme transversata" "egg"
"Philereme vetulata" "egg"
"Plagodis dolabraria" "pupa"
"Plagodis pulveraria" "pupa"
"Plemyria rubiginata" "egg"
"Pseudoterpna pruinata" "larva"
"Pterapherapteryx sexalata" "pupa"
"Pungeleria capreolaria" "larva"
"Rheumaptera subhastata" "pupa"
"Rhodometra sacraria" NA
"Rhodostrophia calabra" "larva"
"Rhodostrophia vibicaria" "larva"
"Sciadia zelleraria" "larva"
"Scopula caricaria" "larva"
"Scopula confinaria" "larva"
"Scopula decorata" "larva"
"Scopula floslactata" "larva"
"Scopula imitaria" "larva"
"Scopula immorata" "larva"
"Scopula immutata" "larva"
"Scopula incanata" "larva"
"Scopula marginepunctata" "larva"
"Scopula nigropunctata" "larva"
"Scopula ornata" "larva"
"Scopula rubiginata" "larva"
"Scopula submutata" "larva"
"Scopula subpunctaria" "larva"
