"taxonID" "Name_std"
"infospecies.ch:infofauna:32927" "Eilema caniola"
"infospecies.ch:infofauna:32955" "Eilema cereola"
"infospecies.ch:infofauna:32928" "Eilema complana"
"infospecies.ch:infofauna:32929" "Eilema depressa"
"infospecies.ch:infofauna:32930" "Eilema griseola"
"infospecies.ch:infofauna:32931" "Eilema lurideola"
"infospecies.ch:infofauna:32932" "Eilema lutarella"
"infospecies.ch:infofauna:32933" "Eilema palliatella"
"infospecies.ch:infofauna:32934" "Eilema pseudocomplana"
"infospecies.ch:infofauna:32935" "Eilema pygmaeola"
"infospecies.ch:infofauna:32936" "Eilema sororcula"
"infospecies.ch:infofauna:32310" "Elaphria venustula"
"infospecies.ch:infofauna:31409" "Electrophaes corylata"
"infospecies.ch:infofauna:31411" "Elophos caelibaria"
"infospecies.ch:infofauna:31412" "Elophos operaria"
"infospecies.ch:infofauna:31416" "Ematurga atomaria"
"infospecies.ch:infofauna:31417" "Emmiltis pygmaearia"
"infospecies.ch:infofauna:32313" "Enargia paleacea"
"infospecies.ch:infofauna:30950" "Endromis versicolora"
"infospecies.ch:infofauna:31418" "Ennomos alniaria"
"infospecies.ch:infofauna:31420" "Ennomos erosaria"
"infospecies.ch:infofauna:31421" "Ennomos fuscantaria"
"infospecies.ch:infofauna:31422" "Ennomos quercaria"
"infospecies.ch:infofauna:31423" "Ennomos quercinaria"
"infospecies.ch:infofauna:31424" "Entephria caesiata"
"infospecies.ch:infofauna:31426" "Entephria cyanata"
"infospecies.ch:infofauna:31785" "Entephria flavata"
"infospecies.ch:infofauna:31427" "Entephria flavicinctata"
"infospecies.ch:infofauna:31428" "Entephria infidaria"
"infospecies.ch:infofauna:31429" "Entephria nobiliaria"
"infospecies.ch:infofauna:32392" "Enterpia laudeti"
"infospecies.ch:infofauna:32952" "Epatolmis luctifera"
"infospecies.ch:infofauna:32317" "Epilecta linogrisea"
"infospecies.ch:infofauna:31430" "Epilobophora sabinata"
"infospecies.ch:infofauna:32318" "Epimecia ustula"
"infospecies.ch:infofauna:31432" "Epione repandaria"
"infospecies.ch:infofauna:31431" "Epione vespertaria"
"infospecies.ch:infofauna:32654" "Epipsilia grisescens"
"infospecies.ch:infofauna:32656" "Epipsilia latens"
"infospecies.ch:infofauna:31434" "Epirrhoe alternata"
"infospecies.ch:infofauna:31435" "Epirrhoe galiata"
"infospecies.ch:infofauna:31437" "Epirrhoe molluginata"
"infospecies.ch:infofauna:31439" "Epirrhoe rivata"
"infospecies.ch:infofauna:31440" "Epirrhoe tristata"
"infospecies.ch:infofauna:31441" "Epirrita autumnata"
"infospecies.ch:infofauna:31442" "Epirrita christyi"
"infospecies.ch:infofauna:31443" "Epirrita dilutata"
"infospecies.ch:infofauna:32319" "Episema glaucina"
"infospecies.ch:infofauna:31444" "Erannis defoliaria"
"infospecies.ch:infofauna:30902" "Eriogaster arbusculae"
"infospecies.ch:infofauna:30903" "Eriogaster catax"
"infospecies.ch:infofauna:30904" "Eriogaster lanestris"
"infospecies.ch:infofauna:32324" "Eriopygodes imbecilla"
"infospecies.ch:infofauna:32330" "Eublemma ostrina"
"infospecies.ch:infofauna:32331" "Eublemma parva"
